NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Sponsor,Collaborators,Sex,Age,Study Type,Start Date,Primary Completion Date,Completion Date,Locations
NCT07096908,Tirzepatide Use in People With Obesity and Type 1 Diabetes,https://clinicaltrials.gov/study/NCT07096908,NOT_YET_RECRUITING,Type1diabetes|Obesity,DRUG: Tirzepatide|DRUG: Placebo,Dasman Diabetes Institute,University of Ulster,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-07-31,2028-02-25,2028-08-01,"Dasman Diabetes Institute, Kuwait, Sharq, 15462, Kuwait"
NCT07096895,EUS-directed Transenteric ERCP (EDEE) in Patients With Benign and Malignant Underlying Conditions and Inaccessible Papilla/Biliodigestive Anastomosis (BDA),https://clinicaltrials.gov/study/NCT07096895,RECRUITING,Biliary Intervention|Altered Anatomy|Malignant Gastric Outlet Obstruction|EUS Guided Enteroenteric Anastomosis|EDEE,PROCEDURE: EDEE (EUS-directed transenteric ERCP),Evangelisches Krankenhaus Düsseldorf,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2020-02-01,2027-01-01,2027-01-01,"Evangelisches Krankenhaus Düsseldorf, Düsseldorf, 40217, Germany"
NCT07096882,SDTM001 Injection as Adjuvant Therapy for NSCLC Patients After Radical Surgical Resection,https://clinicaltrials.gov/study/NCT07096882,RECRUITING,Non-Small Cell Lung Cancer,BIOLOGICAL: SDT-M001 injection,"Cytocraft Biopharmaceutical Co., Ltd.",,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-07-26,2027-06-26,2029-06-26,"West China Hospital of Sichuan University, Chengdu, Sichuan, 610000, China"
NCT07096869,Bioequivalence Study of Paclitaxel Protein-bound Particles for Injectable Suspension (Albumin-bound) in Breast Cancer Patients,https://clinicaltrials.gov/study/NCT07096869,RECRUITING,Bioequivalence,DRUG: Paclitaxel protein-bound particles for injectable suspension (albumin-bound)|DRUG: Abraxane®,"CSPC Zhongnuo Pharmaceutical (Shijiazhuang) Co., Ltd.",,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-06-26,2025-12-31,2026-02-25,"The First Hospital of Jilin University, Changchun, Jilin, 130021, China"
NCT07096856,Post Market Clinical Study to Evaluate the Performance of the Versius Surgical System,https://clinicaltrials.gov/study/NCT07096856,NOT_YET_RECRUITING,"Cholecystectomy, Robotic",DEVICE: Robotic assisted cholecystectomy,CMR Surgical Ltd,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-12,2026-02,2026-03,
NCT07096843,A Phase 2 Study of Budoprutug in Subjects With Primary Membranous Nephropathy,https://clinicaltrials.gov/study/NCT07096843,NOT_YET_RECRUITING,Primary Membranous Nephropathy,DRUG: budoprutug,"Climb Bio, Inc.",,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-09,2027-10,2027-10,
NCT07096830,Efficacy of Tetrachlorodecaoxide (TCDO) Drops in Chronic Wound Healing: Insights From a Randomized Controlled Trial,https://clinicaltrials.gov/study/NCT07096830,NOT_YET_RECRUITING,Chronic Wound Care,DRUG: Tetrachlorodecaoxide (TCDO) drops plus standard wound care|OTHER: standard wound care,Fazeelat Bibi,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-08-30,2026-07-30,2026-08-30,"Khyber Teaching Hospital, MTI KTH Peshawar, Peshawar, Khyber Pakhtunkhwa, 25000, Pakistan"
NCT07096817,Effects of a Highly Intensive Balance Therapy Camp in Children With Developmental Coordination Disorder,https://clinicaltrials.gov/study/NCT07096817,COMPLETED,Developmental Coordination Disorder,BEHAVIORAL: Highly intensive individualized balance therapy,Hasselt University,,ALL,CHILD,INTERVENTIONAL,2022-11-02,2024-11-30,2024-11-30,"Hasselt University, Diepenbeek, Limburg, 3590, Belgium"
NCT07096804,Effects of Ramadan Fasting on Type 1 Diabetic Children,https://clinicaltrials.gov/study/NCT07096804,NOT_YET_RECRUITING,Diabtes Mellitus Type 1,,Assiut University,,ALL,CHILD,OBSERVATIONAL,2026-02-25,2028-02-25,2028-05-25,
NCT07096791,A Phase 2 Study to Evaluate Efficacy and Safety of KH607 Tablets in Woman With Postpartum Depression,https://clinicaltrials.gov/study/NCT07096791,NOT_YET_RECRUITING,Postpartum Depressive Disorder,DRUG: KH607 tablet|DRUG: placebo,"Chengdu Kanghong Pharmaceutical Group Co., Ltd.",,FEMALE,ADULT,INTERVENTIONAL,2025-07,2027-01,2027-04,
NCT07096778,"Inobrodib, Pomalidomide and Dexamethasone in Relapsed or Refractory Multiple Myeloma",https://clinicaltrials.gov/study/NCT07096778,NOT_YET_RECRUITING,Multiple Myeloma Refractory|Multiple Myeloma in Relapse,DRUG: Inobrodib|DRUG: Pomalidomide|DRUG: Dexamethasone,CellCentric Ltd.,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-12-01,2029-12-01,2029-12-01,"Royal Marsden NHS Foundation Trust, Sutton, London, SM2 5PT, United Kingdom"
NCT07096765,Effect of Injection Duration of Fascial Plane Blocks on Block Success,https://clinicaltrials.gov/study/NCT07096765,NOT_YET_RECRUITING,Nerve Block,DRUG: Group O|DRUG: Group T|DRUG: Group C,Bursa Yüksek İhtisas Education and Research Hospital,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-08-01,2026-01-01,2026-02-01,"Bursa Yuksek Ihtisas Training and Research Hospital, Bursa, 16110, Turkey"
NCT07096752,Screening and Validation of Serum Protein Biomarkers for Early Diagnosis of Gastric Cancer,https://clinicaltrials.gov/study/NCT07096752,NOT_YET_RECRUITING,Gastric Cancer (Diagnosis),,Shanghai Zhongshan Hospital,,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL,2025-08-01,2026-08-31,2029-06-30,
NCT07096739,Tolerance of a High Protein Nutrition Shake in Individuals With GLP-1,https://clinicaltrials.gov/study/NCT07096739,NOT_YET_RECRUITING,GLP-1 Concentration,DIETARY_SUPPLEMENT: High protein shake,Kate Farms Inc,INQUIS Clinical Research,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-08-01,2025-11-01,2025-11-01,
NCT07096726,Boston Medical Center Ultrasound Decongestion Study in Heart Failure,https://clinicaltrials.gov/study/NCT07096726,NOT_YET_RECRUITING,Congestive Heart Failure|Volume Overload,DEVICE: Five-point ultrasound|OTHER: Standard of care,Boston Medical Center,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-10,2027-10,2027-10,"Boston Medical Center, Boston, Massachusetts, 02118, United States"
NCT07096713,Brolucizumab Versus Aflibercept on Visual and Anatomical Outcomes in Diabetic Macular Edema,https://clinicaltrials.gov/study/NCT07096713,COMPLETED,Anti-VEGF Therapy,DRUG: Intervention 1: Brolucizumab|DRUG: Intervention 2: Aflibercept,Benha University,,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL,2024-01-01,2024-06-01,2024-06-01,"Benha University, Banha, Cairo, 13111, Egypt"
NCT07096700,VR and Orthoses for Rehabilitation in Multiple Sclerosis,https://clinicaltrials.gov/study/NCT07096700,NOT_YET_RECRUITING,Multiple Sclerosis,OTHER: VR and walking brace-based gait rehabilitation,Azienda Usl di Bologna,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-10,2026-02,2026-05,"IRCCS Istituto delle Scienze Neurologiche di Bologna - AUSL of Bologna, Bologna, 40139, Italy"
NCT07096687,TARGETED TEMPERATURE MANAGEMENT IN ACUTE ISCHEMIC STROKE,https://clinicaltrials.gov/study/NCT07096687,NOT_YET_RECRUITING,Ischemic Stroke,DEVICE: Targeted Temperature Management with CB240_Aurora|DEVICE: Standard of care Temperature treatment,Azienda Usl di Bologna,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-09,2026-09,2027-03-31,"IRCCS Istituto delle Scienze Neurologiche di Bologna - AUSL of Bologna, Bologna, 40139, Italy"
NCT07096674,A Long-term Extension Study of ORX750 in Participants With Narcolepsy and Idiopathic Hypersomnia,https://clinicaltrials.gov/study/NCT07096674,NOT_YET_RECRUITING,Narcolepsy Type 1|Narcolepsy Type 2|Idiopathic Hypersomnia,DRUG: ORX750|DRUG: ORX750|DRUG: ORX750,Centessa Pharmaceuticals (UK) Limited,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-07-31,2026-04-30,2026-04-30,"Site Number 1, Huntersville, North Carolina, 28070, United States"
NCT07096661,Pain Science Education for Labour and Postpartum Pain,https://clinicaltrials.gov/study/NCT07096661,NOT_YET_RECRUITING,Adults|Female|Labour Pain|Postpartum Pain|Chronic Pain,,Bournemouth University,Akdeniz University|Vrije Universiteit Brussel|McMaster University,ALL,"CHILD, ADULT, OLDER_ADULT",OBSERVATIONAL,2025-09-01,2026-04-01,2026-05-01,"Landsdowne Campus, Bournemouth, United Kingdom"
NCT07096648,Alert Burden When Monitoring Patients at Home,https://clinicaltrials.gov/study/NCT07096648,ACTIVE_NOT_RECRUITING,Continuous Monitoring|Vital Signs Monitoring|Hospital at Home|Remote Monitoring,DEVICE: Continuous vital sign monitoring,Bispebjerg Hospital,,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL,2025-06-16,2025-09-01,2025-12-01,"Bispebjerg Hospital, Copenhagen, 2400, Denmark"
NCT07096635,Oral Melatonin With Intra Articular Analgesia on Pain After Arthroscopic Anterior Cruciate Ligament Reconstruction,https://clinicaltrials.gov/study/NCT07096635,NOT_YET_RECRUITING,Pain Relief After Arthroscopic Anterior Cruciate Ligament Reconstruction,DRUG: Melatonin|OTHER: Starch tablets,Assiut University,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-10-01,2027-10-01,2027-10-01,
NCT07096622,Efficacy of Visual and Perceptual Training on Visual Function for Operative Congenital Ectopia Lentis Children : a Randomized Controlled Clinical Trial,https://clinicaltrials.gov/study/NCT07096622,NOT_YET_RECRUITING,Ectopia Lentis|Lens Subluxation or Dislocation,"DEVICE: perceptual learning visual treatment,HVT","Zhongshan Ophthalmic Center, Sun Yat-sen University",,ALL,CHILD,INTERVENTIONAL,2025-08,2027-08,2027-08,"Guangdong Provincial Clinical Research Center for Ocular Diseases, State Key Laboratory of Ophthalmology, Zhongshan Ophthalmic Center, Sun Yat-sen University, Guangdong Provincial Key Laboratory of Ophthalmology and Visual Science, Guangzhou, Guangdong, Guangzhou, Guangdong, 510060, China"
NCT07096609,"Lenvatinib After Progression on Imatinib, Sunitinib, and Regorafenib for GIST Patients",https://clinicaltrials.gov/study/NCT07096609,NOT_YET_RECRUITING,GIST,DRUG: Lenvatinib Capsules,Asan Medical Center,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-09-08,2027-12-31,2027-12-31,"Asan Medical Center, Seoul, 05505, Korea, Republic of"
NCT07096596,Prostate Cancer Study of Patient Experiences,https://clinicaltrials.gov/study/NCT07096596,NOT_YET_RECRUITING,Prostate Cancer,OTHER: No Intervention: Observational Cohort,Ankara University,,MALE,"ADULT, OLDER_ADULT",OBSERVATIONAL,2025-08,2025-12,2025-12,"Ankara University Faculty of Medicine, Ankara, 06590, Turkey"
NCT07096583,An Exploratory Study on NK Cell-assisted Prevention of Bone Marrow Suppression During Chemotherapy for Ovarian Cancer,https://clinicaltrials.gov/study/NCT07096583,ACTIVE_NOT_RECRUITING,Ovary Cancer,BIOLOGICAL: METR-NK cell（metabolic remodeling nature killer cells）,Anhui Provincial Cancer Hospital,"Anhui Kecheng intelligent health technology Co., LTD",FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-07-07,2026-07-30,2027-07-30,"Anhui Cancer Hospitail, HeFei, Anhui, 230001, China"
NCT07096570,"Multi-Sensory Training for Balance, EMG, Sensory Deficits in DPN",https://clinicaltrials.gov/study/NCT07096570,COMPLETED,Diabetic Peripheral Neuropathy (DPN),BEHAVIORAL: Selected Multisensory Training (SMST),Monireh Asadi Ghaleni,,FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-03-25,2025-04-21,2025-06-22,"Parsian Diabetes Clinic, Mashhad, 1993893973, Iran, Islamic Republic of"
NCT07096557,The Effect of Co-enzyme Q10 on the Clinical Outcome of Pediatric Patients With Systemic Lupus Erythematosus,https://clinicaltrials.gov/study/NCT07096557,RECRUITING,Systemic Lupus Erythematosus,DRUG: Coenzyme Q10,Ain Shams University,,ALL,CHILD,INTERVENTIONAL,2024-04-01,2025-08-10,2025-12-31,"The Pediatric Allergy, Immunology and Rheumatology Unit, Ain Shams University Hospitals., Cairo, Egypt"
NCT07096544,CALM Study: Cardiomems Assisted Lvad Management,https://clinicaltrials.gov/study/NCT07096544,NOT_YET_RECRUITING,Heart Failure,DEVICE: CardioMEMS Device,Baylor Research Institute,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-09-01,2026-09-01,2027-09-01,"Baylor Scott & White The Heart Hospital - Plano, Plano, Texas, 75093, United States"
NCT07096531,Effectiveness of Suit Therapy With Dual Task Exercises on Gross Motor Functions and Walking in Children With Diplegic Cerebral Palsy,https://clinicaltrials.gov/study/NCT07096531,RECRUITING,Suit Therapy|Dual Task Exercises|Gross Motor Functions|Walking|Children|Diplegic Cerebral Palsy,OTHER: Suit therapy|OTHER: Suit therapy + Dual-task exercises,Kafrelsheikh University,,ALL,CHILD,INTERVENTIONAL,2023-10-01,2025-09-30,2025-09-30,"Kafrelsheikh University, Kafr Ash Shaykh, Kafrelsheikh, Egypt"
NCT07096518,Effect of ChatGPT-Supported Education on Nursing Students' Aspiration Practice Knowledge and Motivation,https://clinicaltrials.gov/study/NCT07096518,COMPLETED,Endotracheal Aspiration|Nursing Education|Artificial Intelegence|Knowledge|Motivation,OTHER: ChatGPT-Integrated Lecture,Izmir University of Economics,The Scientific and Technological Research Council of Turkey,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-03-04,2025-06-10,2025-07-21,"İzmir University of ;Economics, İzmir, Balçova, 35330, Turkey"
NCT07096505,The Effects of Early vs. Delayed Time-Restricted Eating on Metabolic Syndrome Parameters,https://clinicaltrials.gov/study/NCT07096505,COMPLETED,Obesity and Metabolic Syndrome,BEHAVIORAL: Early time restricted eating with calorie restriction|BEHAVIORAL: Delayed Time Restricted Eating with calorie restriction|BEHAVIORAL: Control group with calorie restriction,SINEM BAYRAM,,FEMALE,ADULT,INTERVENTIONAL,2023-07-21,2024-10-15,2024-12-15,"Baskent University, Ankara, Turkey"
NCT07096492,Strength and Plyometric Training in Swimming,https://clinicaltrials.gov/study/NCT07096492,RECRUITING,Sport Performance|Biomechanics|Plyometric Exercises|Strength Training Effects|Swimming,OTHER: Standard Swimming Training|OTHER: Plyometric Training|OTHER: Strength Training,Istinye University,,ALL,CHILD,INTERVENTIONAL,2025-03-07,2026-05-30,2026-05-30,"Beylikdüzü Yüzme Kulübü, Istanbul, Beylikdüzü, 34528, Turkey"
NCT07096479,Telpegfilgrastim Injection to Reduce the Risk of Neutropenia in Patients With Solid Tumor,https://clinicaltrials.gov/study/NCT07096479,RECRUITING,Chemotherapy-induced Neutropenia,DRUG: Telpegfilgrastim Injection,Anhui Provincial Hospital,,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL,2024-08-15,2025-08-15,2025-08-15,"Anhui province hospital, Hefei, Anhui, 230000, China|Anhui province hospital, Hefei, Anhui, 230000, China"
NCT07096466,Skin Cell Regeneration Efficacy of Cosmetic Product,https://clinicaltrials.gov/study/NCT07096466,COMPLETED,Healthy Skin,OTHER: DHA stain|OTHER: No DHA stain|OTHER: Cosmetic product application - forearm|OTHER: No cosmetic product application - forearm|OTHER: Cosmetic products application - face,Amazentis SA,SGS proderm GmbH,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-06-23,2025-07-09,2025-07-09,"SGS proderm GmbH, Schenefeld, Germany"
NCT07096453,CMVIG Prophylaxis in Belatacept Conversion Kidney Transplant Recipients,https://clinicaltrials.gov/study/NCT07096453,NOT_YET_RECRUITING,Kidney Transplant; Complications|CMV,DRUG: Cytogam,University of Minnesota,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-08-31,2027-08,2027-08,"University of Minnesota, Minneapolis, Minnesota, 55455, United States"
NCT07096440,Noninterventional Study on Tolerability and Safety of One Strength Updosing With Novo-Helisen Depot House Dust Mites,https://clinicaltrials.gov/study/NCT07096440,NOT_YET_RECRUITING,Allergic Rhinitis Due to House Dust Mite|Allergic Conjunctivitis Due to Dermatophagoides Farinae|Allergic Conjunctivitis Due to Dermatophagoides Pteronyssinus|Allergic Asthma Due to Dermatophagoides Farinae|Allergic Asthma Due to Dermatophagoides Pteronyssinus,,Allergopharma GmbH & Co. KG,,ALL,"CHILD, ADULT, OLDER_ADULT",OBSERVATIONAL,2025-07-30,2026-06-30,2026-06-30,
NCT07096427,Virtual Reality-Based Health Promotion Education and Healthy Living Behaviors in Pregnant Women,https://clinicaltrials.gov/study/NCT07096427,ENROLLING_BY_INVITATION,Pregnancy|Health Behavior|Virtual Reality,BEHAVIORAL: Virtual Reality-Based Prenatal Education|BEHAVIORAL: Booklet-Based Prenatal Education,Istanbul University - Cerrahpasa,,FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-05-20,2025-12-20,2025-12-30,"Kagithane 13 Nolu Aile Sağlığı Merkezi, Istanbul, Kagithane, 34408, Turkey"
NCT07096414,Effect of Vitamin D3 Supplementation on Brain Waves in Male Epileptic Patients With Hypovitaminosis D,https://clinicaltrials.gov/study/NCT07096414,RECRUITING,Epilepsy|Hypovitaminosis D,DIETARY_SUPPLEMENT: Vitamin D3,Bangladesh Medical University,,MALE,ADULT,INTERVENTIONAL,2025-07-19,2025-10,2025-10,"Bangladesh Medical University, Dhaka, Shahbag, Dhaka, 1000, Bangladesh"
NCT07096401,Efficacy of Aligners vs ABT and RCOS for Deep Bite Correction: CBCT Study,https://clinicaltrials.gov/study/NCT07096401,NOT_YET_RECRUITING,Deep Bite Malocclusion,DEVICE: Reverse Curve of Spee Archwire|DEVICE: Anterior Bite Turbos|DEVICE: Clear Aligners,Al-Azhar University,,ALL,"CHILD, ADULT",INTERVENTIONAL,2025-10-01,2026-10-01,2027-10-01,
NCT07096388,EVALUATION OF COST-EFFECTIVENESS OF ILIAC BRANCH ENDOPROSTHESES,https://clinicaltrials.gov/study/NCT07096388,NOT_YET_RECRUITING,Aorto-iliac Aneurysm,PROCEDURE: endovascular repair|PROCEDURE: open surgical repair,Prof. Andrea Kahlberg,,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL,2025-12-01,2029-12-01,2030-03-01,
NCT07096375,"Coupling of IPACK Block With Adductor Canal Block Versus Adductor Canal Block Alone on Pain, Functional Recovery and Inflammatory Response After Knee Replacement",https://clinicaltrials.gov/study/NCT07096375,NOT_YET_RECRUITING,Adductor Canal Block|Total Knee Replacement Surgery|Functional Recovery,PROCEDURE: Adductor Canal Block (ACB) + iPACK Block|PROCEDURE: Adductor Canal Block (ACB) + iPACK Block (sham injection),Ain Shams University,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-09-20,2026-06-28,2026-09-28,
NCT07096362,Utility of ctDNA in Early Switch of First-line mFOLFIRINOX in Metastatic Pancreatic Ductal Adenocarcinoma,https://clinicaltrials.gov/study/NCT07096362,NOT_YET_RECRUITING,Metastatic Pancreatic Ductal Adenocarcinoma|Pancreatic Ductal Adenocarcinoma,DRUG: 5-Fluorouracil|DRUG: Oxaliplatin|DRUG: Leucovorin|DRUG: Irinotecan|DRUG: Gemcitabine|DRUG: Nab Paclitaxel|DIAGNOSTIC_TEST: Circulating Tumor Deoxyribonucleic acid (ctDNA) Assay,University of Miami,"National Cancer Institute (NCI)|BillionToOne, Inc",ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-10-01,2030-10-01,2030-10-01,"University of Miami, Miami, Florida, 33136, United States"
NCT07096349,Multidimensional Assessment of Chronic Pain in Severe Haemophilia A,https://clinicaltrials.gov/study/NCT07096349,RECRUITING,Hemophilia A Without Inhibitor,,Investigación en Hemofilia y Fisioterapia,,MALE,"ADULT, OLDER_ADULT",OBSERVATIONAL,2025-07-30,2025-10-03,2025-10-26,"Universidad de Oviedo, Oviedo, Asturias, 33006, Spain"
NCT07096336,Effect of Vitamin D3 on Brain Waves in Male Parkinson's Patients With Low Vitamin D: A qEEG Study,https://clinicaltrials.gov/study/NCT07096336,RECRUITING,PARKINSON DISEASE (Disorder),DIETARY_SUPPLEMENT: vitamin D3 capsule,Bangladesh Medical University,,MALE,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-07-15,2025-11,2025-11,"Bangladesh medical university, Dhaka, Shahbag, 1000, Bangladesh"
NCT07096323,Successful Treatment of Female Pattern Hair Loss With Injection of Nanofat With and Without Platelet-Rich Plasma,https://clinicaltrials.gov/study/NCT07096323,COMPLETED,Female Pattern Hair Loss,PROCEDURE: Nanofat only|PROCEDURE: Nanofat mixed with PRP,Ain Shams University,,FEMALE,ADULT,INTERVENTIONAL,2022-12-01,2023-07-01,2023-08-01,"Dermatology Department- Ain Shams University, Cairo, Egypt"
NCT07096310,Comparison Between Carbapenems and Noncarbapenem Beta-lactam Antibiotics in Septic Burn Patients,https://clinicaltrials.gov/study/NCT07096310,NOT_YET_RECRUITING,Sepsis,DRUG: Meropenem I.V. 2g as a 3 hour infusion every 8 hours|DRUG: Tazocin (pipercillin/tazobactam),Ain Shams University,,ALL,ADULT,INTERVENTIONAL,2025-08-01,2026-01-15,2026-03-01,"Ain Shams University Hospitals, Cairo, 002, Egypt"
NCT07096297,Luspatercept + Darbepoetin in MDS,https://clinicaltrials.gov/study/NCT07096297,NOT_YET_RECRUITING,MDS (Myelodysplastic Syndrome),DRUG: Luspatercept|DRUG: Darbeopoetin,Yale University,Bristol-Myers Squibb,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-09,2030-03,2030-03,"Yale University, New Haven, Connecticut, 06510, United States"
NCT07096284,The PvCO2-PaCO2/CaO2-CvO2 Ratio in Septic Shock,https://clinicaltrials.gov/study/NCT07096284,RECRUITING,Septic Shock,DIAGNOSTIC_TEST: PvCO2-PaCO2/CaO2-CvO2 ratio,Avicenna Military Hospital,,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL,2025-01-05,2025-12,2025-12,"Avicenna Military Hospital, Marrakech, Marrakesh, 40000, Morocco|Avicenna Military Hospital, Marrakech, 40000, Morocco|Department of critical care Medicine. Avicenna Military Hospital, Marrakesh, 40000, Morocco"
NCT07096271,Get Better Together: Relationship Education For Military Couples,https://clinicaltrials.gov/study/NCT07096271,NOT_YET_RECRUITING,Emotion Regulation|Relationship Conflict|Suicide Risk|Alcohol Use|Intimate Partner Violence (IPV)|Relationship Distress|Interpersonal Emotion Regulation,BEHAVIORAL: Get Better Together (GBT),Henry M. Jackson Foundation for the Advancement of Military Medicine,Uniformed Services University of the Health Sciences,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-08,2027-05,2028-07,"Uniformed Services University of the Health Sciences, Bethesda, Maryland, 20814, United States"
NCT07096258,EMPATHY NSCLC: European Registry for Plasma-Based Molecular Profiling in Advanced NSCLC Patients,https://clinicaltrials.gov/study/NCT07096258,RECRUITING,NSCLC (Advanced Non-small Cell Lung Cancer),,Hedera Dx SA,,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL,2024-06-01,2027-12,2031-12,"Université de Lorraine, Nancy, Lorraine, 54519, France|University of Naples ""Federico II"", Napoli, 80131, Italy|General Universitario Gregorio Marañon, Madrid, 28007, Spain|Hôpitaux Universitaires Genève, Geneva, 1211, Switzerland"
NCT07096245,Conectados: Social Networks and Social Media for Vaccine Uptake,https://clinicaltrials.gov/study/NCT07096245,NOT_YET_RECRUITING,Vaccination,BEHAVIORAL: Vaccine Information Video Dissemination,"University of California, San Francisco",,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-09-10,2025-11,2025-11,"University of California, San Francisco, San Francisco, California, 94158, United States"
NCT07096232,Orchestrated Multi-Agent AI Versus Consultant Ophthalmologist: Workflow Performance in Refractive Surgery and Keratoconus Diagnosis-Demonstrating Increased Diagnostic Accuracy (AEYE),https://clinicaltrials.gov/study/NCT07096232,ENROLLING_BY_INVITATION,Keratoconus|Refractive Surgery|Machine Learning|Artifical Intelligence|Diagnostic Accuracy|Clinical Decision Support|Ophthalmology,DIAGNOSTIC_TEST: Multi-Agent AI Diagnostic Workflow (AEYE),hatem ali,,ALL,"CHILD, ADULT, OLDER_ADULT",OBSERVATIONAL,2025-01-01,2025-08-15,2025-08-30,"Hazem Yassin Clinics, Cairo, Maadi, 11728, Egypt"
NCT07096219,Catheter Ablation for Functional Mitral Regurgitation in Persistent Atrial Fibrillation: Development and Validation of a Predictive Model-A Multicenter Prospective Cohort Study,https://clinicaltrials.gov/study/NCT07096219,ENROLLING_BY_INVITATION,AF Ablation Patients With Moderate+ FMR and Persistent AF,PROCEDURE: Catheter Ablation|DIAGNOSTIC_TEST: ultrasonic cardiography (UCG),Sun Yat-Sen Memorial Hospital of Sun Yat-Sen University,"Shantou Central Hospital|Dongguan People's Hospital|Second Affiliated Hospital of Nanchang University|First Affiliated Hospital of Shantou University Medical College|West China Hospital|Zhongshan People's Hospital, Guangdong, China|Qingyuan People's Hospital|Second Affiliated Hospital, School of Medicine, Zhejiang University|Jiangmen Central Hospital|Taizhou Hospital of Zhejiang Province affiliated to Wenzhou Medical University|First Affiliated Hospital of Chongqing Medical University|Jiangxi Provincial People's Hopital|Guangdong Provincial People's Hospital|Nanhai District People's Hospital of Foshan City|The University of Hong Kong-Shenzhen Hospital|First Affiliated Hospital of Xinjiang Medical University|Second Affiliated Hospital of Guangzhou Medical University|Second Xiangya Hospital of Central South University|Zhongnan Hospital|Ningbo Medical Center Li Huili Hospital|Sir Run Run Shaw Hospital|China-Japan Union Hospital, Jilin University|Xiangya Hospital of Central South University|Shanxi Cardiovascular Hospital|Second Affiliated Hospital of Xi'an Jiaotong University|Shenzhen People's Hospital|First Affiliated Hospital, Sun Yat-Sen University|Tongji Hospital|Nanfang Hospital, Southern Medical University|First People's Hospital of Foshan|Renmin Hospital of Wuhan University|Guizhou Provincial People's Hospital|The First Affiliated Hospital of Air Force Medical University|The First Affiliated Hospital of Nanchang University|The First Affiliated Hospital of Dalian Medical University|Jiangsu Provincial People's Hospital|Meizhou People's Hospital|Yuebei People's Hospital|The Third Xiangya Hospital of Central South University|Third Affiliated Hospital, Sun Yat-Sen University|First Affiliated Hospital Xi'an Jiaotong University|Second Affiliated Hospital of Wenzhou Medical University",ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL,2024-12-31,2026-12-30,2027-12-30,"Sun Yat-sen Memorial Hospital of Sun Yat-sen University, Guangzhou, Guangdong, 510000, China"
NCT07096206,Characteristics and Impacts of X-linked Hypohidrotic Ectodermal Dysplasia (XLHED) in Boys: An Observational International Study,https://clinicaltrials.gov/study/NCT07096206,ACTIVE_NOT_RECRUITING,X-Linked Hypohidrotic Ectodermal Dysplasia (XLHED),,Pierre Fabre Medicament,,MALE,CHILD,OBSERVATIONAL,2023-07-19,2026-11-19,2026-11-19,"Necker hospital, Paris, 75015, France|Uniklinikum Erlangen, Erlangen, 91054, Germany"
NCT07096193,Study of GS-4321 in Healthy Participants and Participants With Chronic Hepatitis Delta Virus,https://clinicaltrials.gov/study/NCT07096193,NOT_YET_RECRUITING,Chronic Hepatitis Delta,DRUG: GS-4321|DRUG: GS-4321 Placebo|DRUG: GS-4321,Gilead Sciences,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-07,2026-08,2028-12,
